userID:num=0,userName:str=null,userGroup:str=customer,post:str=null,securityProblem:str=null,securityAnswer:str=null,birthday:str=2022-01-01 00:00:00,gender:str=null,country:str=null,DLNumber:str=null,phone:str=0123456789,email:str=rent@mail.com,address:str=null,about:str=null,regTime:str=null
1,Innis-YU,admin,CEO,What is my favourite,coding,1999/4/16,Male,China,4127221997,1575270694,1575270674@qq.com,HenNa,Hello there,2021/12/3 15:04
2,kk-Tku,admin,CTO,what is my favourite,reading,2001/3/20,Male,Malaysia,4.89098E+11,110727484,KK@gamil.com,Johor,Hello there,2021/12/3 15:04
3,David Chill,admin,customer server,What is your favorite movie?,Naruto,1966/10/21,female,Malaysia,267316428,+1-196-990-5097x34744,david32@hotmail.com,Unit 1530 Box 2828DPO AP 17347,West kid ,2022/10/4 7:53
4,John-Rollins,customer,VIP2,What is your favorite food?,Join ,1986/4/22,male,Malaysia,354741847,(233)044-6925,lbaker@hotmail.com,23764 Robert Spurs Brownfurt,Test building day fact only ,2022/10/6 12:57
5,Jaclyn-Kelley,customer,VIP1,What is your favorite color?,Call ,1970/4/27,female,Malaysia,204806573,+1-893-321-4578x86513,janetmaldonado@yahoo.com,Unit 3242 Box 6324DPO AE 88361,Positive candidate note say ,2022/10/6 4:19
6,Gregory-Adams,customer,VIP2,What is your favorite color?,Western ,1959/10/18,male,Malaysia,548472394,+1-079-500-8883x12289,lauracortez@hotmail.com,858 Grant Drive Apt. 462 North Christina,Certain provide ,2022/9/26 20:55
7,Paul-Jackson,customer,VIP3,What is your favorite food?,International ,1962/12/3,male,Malaysia,454660607,001-771-103-4616,salazarmarissa@yahoo.com,26949 Yvonne Course Suite 523New Mariamouth,Amount social too break ,2022/9/24 10:47
8,Robert-Garcia,customer,VIP3,What is your favorite movie?,Happy ,2000/10/3,male,Malaysia,711371700,890.281.2914x01619,dsimmons@gmail.com,160 Colleen Path Apt. 745 Taylorburgh,Street close exist strategy ,2022/9/26 13:46
9,Jennifer-Lawrence,customer,VIP2,What is your favorite movie?,Mr ,1962/5/31,male,Malaysia,129392233,715-629-3145,cervante11smichael@yahoo.com,66391 Joanna Falls Aaronchester,Nice certain part ,2022/9/25 5:47
10,David-Davis,driver,driver,What is your favorite color?,Arco Blue,1962/5/31,female,USA,129392233,715-629-3145,cervantesmichael@yahoo.com,66391 Joanna Falls Aaronchester,Nice certain part ,2022/9/1 5:47
11,Kelley-Jaclyn,customer,VIP3,What is your favorite movie?,Mr ,1962/5/31,female,USA,129392233,715-629-3145,cervantesmichael@yahoo.com,66391 Joanna Falls Aaronchester,Nice certain part ,2022/9/1 5:47
12,Enci-Yu,customer,null,null,null,null,null,null,null,null,157527@qq.com,null,null,2022-11-15 01:33:03
13,Clare-YU,driver,null,null,null,2022-01-01 00:00:00,null,null,null,0123456789,157@qq.com,null,null,2022-11-15 03:52:32
14,jonh-David,customer,null,null,null,null,null,null,driverLicence,null,15705156@qq.com,null,null,2022-11-15 01:33:03
